LID,R&D,COM,OSC,SEC,SPS,Result
1,1,0.67,0.33,0.33,1,1
0.67,0.67,1,0.67,1,1,1
0.67,1,0.67,0.33,0.67,1,1
1,1,0.67,0.67,1,1,1
0.67,1,0.67,0.67,1,1,1
0.67,0.33,0.67,0.67,0.67,1,1
1,0.67,0.67,0.67,0.67,1,1
1,0.67,0.67,0.67,0.67,1,1
1,1,0.67,1,1,1,1
1,1,0.67,0.67,0.67,1,1
0.67,0.67,0.67,0.67,1,1,1
1,0.33,0.67,0.67,1,1,1
1,0.33,0.67,0.67,1,1,1
0.67,0.33,0.67,0.67,1,1,1
0.67,0,0.67,0.67,1,1,1
0.67,0.33,0.67,0.67,1,1,1
0.67,1,0.67,0.67,0.67,1,1
1,1,0.67,0.33,0.33,1,1
1,0,0.67,0.67,0.67,1,1
1,1,0.67,0.33,0.67,1,1
1,1,0.67,0.67,0.67,1,1
0.67,0.33,0.67,0.67,1,1,1
0.67,0.67,0.67,0.67,1,1,1
1,1,0.67,0.67,0.67,1,1
0.67,0,1,0.67,1,1,1
0.67,0.67,0.67,0.33,0.33,0.67,1
0.67,0.33,0.67,0.67,0.67,0.67,1
1,0.33,0.67,0.67,0.33,0.33,1
1,1,0.67,0.67,1,1,1
1,0.33,0.67,0.67,1,1,1
0.67,0,0.67,0.67,1,0.67,1
1,1,0.67,0.67,0.67,1,1
0.67,0.33,0.33,0.67,1,1,1
0.67,0.33,0.67,0.67,1,1,1
1,1,0.67,0.67,0.67,1,1
1,1,0.67,0.67,1,1,1
